"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Chromatin organization",287,105,1,12,70.5238095238095,32,82,608,0.365853658536585
"Chromosome Maintenance",139,53,1,10,46.4528301886792,21,75,309,0.381294964028777
"Chylomicron assembly",10,1,71,71,71,71,71,71,0.1
"Chylomicron clearance",5,3,25,27,41.6666666666667,29,50,71,0.6
"Chylomicron remodeling",10,1,71,71,71,71,71,71,0.1
"Cilium Assembly",201,59,1,16,70.3050847457627,33,106.5,418,0.293532338308458
"Ciprofloxacin ADME",5,2,3,10.25,17.5,17.5,24.75,32,0.4
"Circadian clock",112,40,2,13,54.85,28,66.75,240,0.357142857142857
"Citric acid cycle (TCA cycle)",34,11,4,19.5,69,40,80,299,0.323529411764706
"Class A/1 (Rhodopsin-like receptors)",332,63,1,9,46.5079365079365,19,41,347,0.189759036144578
"Class B/2 (Secretin family receptors)",94,18,3,12,80.5,24.5,84.75,476,0.191489361702128
"Class C/3 (Metabotropic glutamate/pheromone receptors)",39,7,2,3.5,19.2857142857143,12,30.5,53,0.179487179487179
"Class I MHC mediated antigen processing & presentation",373,130,1,10.25,68.8615384615385,23.5,68.75,554,0.348525469168901
"Class I peroxisomal membrane protein import",20,7,8,12,43.4285714285714,23,59.5,130,0.35
"Classical Kir channels",4,0,NA,NA,NA,NA,NA,NA,0
"Classical antibody-mediated complement activation",63,4,18,20.25,36.5,28,44.25,72,0.0634920634920635
"Clathrin-mediated endocytosis",145,52,1,12,85,29.5,81.25,796,0.358620689655172
"Cleavage of the damaged purine",55,22,4,10,52.9090909090909,25.5,82,183,0.4
"Cleavage of the damaged pyrimidine ",60,23,4,10,52.0869565217391,15,82,183,0.383333333333333
"Co-inhibition by BTLA",5,1,56,56,56,56,56,56,0.2
"Co-inhibition by CTLA4",21,10,2,7.25,74.9,28,52.75,306,0.476190476190476
"Co-inhibition by PD-1",224,68,2,11.75,66.6029411764706,41.5,82,597,0.303571428571429
"Co-stimulation by CD28",48,22,2,8.25,79.9090909090909,22,42.75,722,0.458333333333333
"Co-stimulation by ICOS",11,2,3,11.5,20,20,28.5,37,0.181818181818182
"Cobalamin (Cbl) metabolism",7,2,5,77.75,150.5,150.5,223.25,296,0.285714285714286
"Cobalamin (Cbl, vitamin B12) transport and metabolism",22,6,5,11,63.6666666666667,22.5,27.25,296,0.272727272727273
"Coenzyme A biosynthesis",7,1,10,10,10,10,10,10,0.142857142857143
"Cohesin Loading onto Chromatin",10,4,1,41.5,117.75,81.5,157.75,307,0.4
"Collagen biosynthesis and modifying enzymes",67,16,1,8,42.875,21,50.25,176,0.238805970149254
"Collagen chain trimerization",44,8,4,10.5,56,26.5,70.75,176,0.181818181818182
"Collagen degradation",64,10,4,9.5,37.8,14.5,42,176,0.15625
"Collagen formation",90,20,1,10.5,47.8,23,57.25,176,0.222222222222222
"Common Pathway of Fibrin Clot Formation",22,6,8,18.75,33.8333333333333,33.5,42.25,69,0.272727272727273
"Competing endogenous RNAs (ceRNAs) regulate PTEN translation",8,4,38,59.75,143.5,82.5,166.25,371,0.5
"Complement cascade",115,18,1,10.75,41.2777777777778,20,67.5,144,0.156521739130435
