"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Complex I biogenesis",68,15,4,15.5,57.4666666666667,44,72.5,180,0.220588235294118
"Complex III assembly",26,8,4,28.25,65.875,39,108,178,0.307692307692308
"Complex IV assembly",48,8,5,6.5,36.75,14.5,35.75,141,0.166666666666667
"Condensation of Prometaphase Chromosomes",11,3,14,36.5,48.6666666666667,59,66,73,0.272727272727273
"Condensation of Prophase Chromosomes",73,25,4,10,49.48,39,82,159,0.342465753424658
"Conjugation of benzoate with glycine",6,1,11,11,11,11,11,11,0.166666666666667
"Conjugation of carboxylic acids",9,2,2,4.25,6.5,6.5,8.75,11,0.222222222222222
"Conjugation of phenylacetate with glutamine",2,0,NA,NA,NA,NA,NA,NA,0
"Conjugation of salicylate with glycine",8,2,2,4.25,6.5,6.5,8.75,11,0.25
"Constitutive Signaling by AKT1 E17K in Cancer",26,9,3,5,100.666666666667,10,28,722,0.346153846153846
"Constitutive Signaling by Aberrant PI3K in Cancer",86,27,3,10,28.3703703703704,19,38.5,134,0.313953488372093
"Constitutive Signaling by EGFRvIII",15,8,9,22.75,40.75,30.5,37.75,134,0.533333333333333
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants",19,11,9,22,38.9090909090909,26,38.5,134,0.578947368421053
"Constitutive Signaling by NOTCH1 HD Domain Mutants",15,4,15,20.25,43.75,43.5,67,73,0.266666666666667
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",58,22,1,12.5,52.0454545454545,19.5,58.25,396,0.379310344827586
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",58,22,1,12.5,52.0454545454545,19.5,58.25,396,0.379310344827586
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",7,0,NA,NA,NA,NA,NA,NA,0
"Constitutive Signaling by Overexpressed ERBB2",11,4,9,19.5,23.75,24.5,28.75,37,0.363636363636364
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",20,5,4,15,60.2,15,49,218,0.25
"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",38,9,6,11,46.7777777777778,14,73,149,0.236842105263158
"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",33,7,17,26.5,95.8571428571429,34,111,345,0.212121212121212
"Creatine metabolism",11,1,4,4,4,4,4,4,0.0909090909090909
"Creation of C4 and C2 activators",71,7,10,19.5,53.5714285714286,35,73.5,144,0.0985915492957746
"Cristae formation",33,13,4,16,72.8461538461538,55,98,271,0.393939393939394
"Cross-presentation of particulate exogenous antigens (phagosomes)",8,4,3,4.5,21.25,6,22.75,70,0.5
"Cross-presentation of soluble exogenous antigens (endosomes)",42,8,1,10.75,25.75,16.5,46,57,0.19047619047619
"Crosslinking of collagen fibrils",18,4,4,4.75,27.25,11,33.5,83,0.222222222222222
"Cyclin A/B1/B2 associated events during G2/M transition",32,8,7,16.75,85.875,41,118.25,262,0.25
"Cyclin A:Cdk2-associated events at S phase entry",75,19,3,15,73.6842105263158,55,67.5,386,0.253333333333333
"Cyclin D associated events in G1",47,20,1,15.75,130.7,65.5,166.75,802,0.425531914893617
"Cyclin E associated events during G1/S transition ",73,17,3,15,64.5294117647059,43,65,386,0.232876712328767
"Cysteine formation from homocysteine",2,0,NA,NA,NA,NA,NA,NA,0
"Cytochrome P450 - arranged by substrate type",64,14,8,15.25,58.3571428571429,22,44,411,0.21875
"Cytochrome c-mediated apoptotic response",13,5,2,10,32.4,21,63,66,0.384615384615385
"Cytokine Signaling in Immune system",785,236,1,9,67.3050847457627,25,55.25,1073,0.300636942675159
"Cytoprotection by HMOX1",60,14,4,8.25,58.3571428571429,26.5,81.25,240,0.233333333333333
"Cytosolic iron-sulfur cluster assembly",13,4,2,44,59.25,61.5,76.75,112,0.307692307692308
"Cytosolic sensors of pathogen-associated DNA ",64,30,1,14.25,52.4666666666667,28.5,64.75,309,0.46875
"Cytosolic sulfonation of small molecules",18,3,7,8.5,18,10,23.5,37,0.166666666666667
"Cytosolic tRNA aminoacylation",24,7,12,21,52,26,49.5,185,0.291666666666667
"DAG and IP3 signaling",41,12,1,4.5,14.25,12,20.5,38,0.292682926829268
"DAG1 core M1 glycosylations",4,1,66,66,66,66,66,66,0.25
"DAG1 core M2 glycosylations",5,1,66,66,66,66,66,66,0.2
"DAG1 core M3 glycosylations",6,3,15,16,32.6666666666667,17,41.5,66,0.5
"DAG1 glycosylations",18,4,15,16.5,29.25,18,30.75,66,0.222222222222222
"DAP12 interactions",44,9,3,9,51.4444444444444,17,37,308,0.204545454545455
"DAP12 signaling",29,8,3,9,56.75,21.5,39,308,0.275862068965517
"DARPP-32 events",24,9,2,17,65.2222222222222,19,43,262,0.375
"DCC mediated attractive signaling",14,10,2,19,77.5,32.5,43,486,0.714285714285714
"DDX58/IFIH1-mediated induction of interferon-alpha/beta",82,27,3,8,64.037037037037,20,48,554,0.329268292682927
"DEx/H-box helicases activate type I IFN and inflammatory cytokines production ",7,2,8,22,36,36,50,64,0.285714285714286
"DNA Damage Bypass",48,15,2,14.5,58.4,22,62.5,283,0.3125
"DNA Damage Recognition in GG-NER",38,12,5,11,24.25,16,28,65,0.315789473684211
"DNA Damage Reversal",8,3,32,42,58,52,71,90,0.375
"DNA Damage/Telomere Stress Induced Senescence",79,29,2,10,42.8965517241379,14,79,183,0.367088607594937
"DNA Double Strand Break Response",78,32,4,10,62.96875,14.5,79.75,608,0.41025641025641
"DNA Double-Strand Break Repair",170,62,2,8.25,57.6935483870968,17.5,72.5,608,0.364705882352941
"DNA Repair",332,110,1,10.25,54.0909090909091,20,62.5,608,0.331325301204819
"DNA Replication",184,57,1,10,56.9649122807018,40,69,425,0.309782608695652
"DNA Replication Pre-Initiation",149,48,1,10,45.5625,34.5,67.5,218,0.322147651006711
"DNA methylation",64,25,4,10,48.8,29,82,159,0.390625
"DNA replication initiation",8,2,7,16.5,26,26,35.5,45,0.25
"DNA strand elongation",32,10,1,8.75,29.6,30,51,60,0.3125
"DS-GAG biosynthesis",12,7,4,6.5,22,11,36.5,53,0.583333333333333
"DSCAM interactions",4,2,25,27,29,29,31,33,0.5
"Dasatinib-resistant KIT mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Deactivation of the beta-catenin transactivating complex",42,14,4,11.25,107.214285714286,21,119.75,677,0.333333333333333
"Deadenylation of mRNA",25,8,1,7,32,11.5,47.25,125,0.32
"Deadenylation-dependent mRNA decay",56,17,1,11,80.9411764705882,46,103,359,0.303571428571429
"Death Receptor Signaling",154,60,1,9,58.6833333333333,22,46.25,578,0.38961038961039
"Dectin-1 mediated noncanonical NF-kB signaling",49,15,3,12,31.0666666666667,21,56,69,0.306122448979592
"Dectin-2 family",26,4,2,13.25,50,42.5,79.25,113,0.153846153846154
"Defective ABCA1 causes TGD",2,0,NA,NA,NA,NA,NA,NA,0
"Defective ABCA12 causes ARCI4B",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ABCA3 causes SMDP3",1,1,83,83,83,83,83,83,1
"Defective ABCB11 causes PFIC2 and BRIC2",1,1,29,29,29,29,29,29,1
"Defective ABCB4 causes PFIC3, ICP3 and GBD1",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ABCB6 causes MCOPCB7",1,1,2,2,2,2,2,2,1
"Defective ABCC2 causes DJS",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ABCC6 causes PXE",1,1,47,47,47,47,47,47,1
"Defective ABCC8 can cause hypo- and hyper-glycemias",2,1,1,1,1,1,1,1,0.5
"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",2,1,28,28,28,28,28,28,0.5
"Defective ABCD1 causes ALD",1,1,23,23,23,23,23,23,1
"Defective ABCD4 causes MAHCJ",2,0,NA,NA,NA,NA,NA,NA,0
"Defective ABCG5 causes sitosterolemia",2,0,NA,NA,NA,NA,NA,NA,0
"Defective ABCG8 causes GBD4 and sitosterolemia",2,0,NA,NA,NA,NA,NA,NA,0
"Defective ACTH causes obesity and POMCD",2,0,NA,NA,NA,NA,NA,NA,0
"Defective ACY1 causes encephalopathy",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ADA disrupts (deoxy)adenosine deamination",1,0,NA,NA,NA,NA,NA,NA,0
"Defective AHCY causes HMAHCHD",1,1,64,64,64,64,64,64,1
"Defective ALG1 causes CDG-1k",1,1,2,2,2,2,2,2,1
"Defective ALG11 causes CDG-1p",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ALG12 causes CDG-1g",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ALG14 causes ALG14-CMS",2,1,63,63,63,63,63,63,0.5
"Defective ALG2 causes CDG-1i",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ALG3 causes CDG-1d",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ALG6 causes CDG-1c",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ALG8 causes CDG-1h",1,0,NA,NA,NA,NA,NA,NA,0
"Defective ALG9 causes CDG-1l",1,0,NA,NA,NA,NA,NA,NA,0
"Defective AMN causes MGA1",3,1,20,20,20,20,20,20,0.333333333333333
"Defective APRT disrupts adenine salvage",1,0,NA,NA,NA,NA,NA,NA,0
"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",3,1,5,5,5,5,5,5,0.333333333333333
"Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)",2,0,NA,NA,NA,NA,NA,NA,0
"Defective B3GALT6 causes EDSP2 and SEMDJL1",20,9,4,12,23.8888888888889,27,30,52,0.45
"Defective B3GALTL causes PpS",38,12,1,10.75,31.75,23.5,60.75,74,0.315789473684211
"Defective B3GAT3 causes JDSSDHD",20,8,4,11.75,25.375,28,32,52,0.4
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)",8,1,829,829,829,829,829,829,0.125
"Defective B4GALT1 causes CDG-2d",1,1,829,829,829,829,829,829,1
"Defective B4GALT7 causes EDS, progeroid type",20,9,4,12,26,29,31,52,0.45
"Defective BTD causes biotidinase deficiency",1,1,38,38,38,38,38,38,1
"Defective Base Excision Repair Associated with MUTYH",1,1,38,38,38,38,38,38,1
"Defective Base Excision Repair Associated with NEIL1",1,0,NA,NA,NA,NA,NA,NA,0
"Defective Base Excision Repair Associated with NEIL3",1,0,NA,NA,NA,NA,NA,NA,0
"Defective Base Excision Repair Associated with NTHL1",1,1,15,15,15,15,15,15,1
"Defective Base Excision Repair Associated with OGG1",1,0,NA,NA,NA,NA,NA,NA,0
"Defective C1GALT1C1 causes TNPS",17,4,2,16.25,51,44.5,79.25,113,0.235294117647059
"Defective CBLIF causes IFD",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CD320 causes MMATC",2,0,NA,NA,NA,NA,NA,NA,0
"Defective CFTR causes cystic fibrosis",48,13,4,14,48.2307692307692,22,55,283,0.270833333333333
"Defective CHST14 causes EDS, musculocontractural type",8,3,4,7.5,15,11,20.5,30,0.375
"Defective CHST3 causes SEDCJD",8,4,4,9.25,14,11,15.75,30,0.5
"Defective CHST6 causes MCDC1",8,1,161,161,161,161,161,161,0.125
"Defective CHSY1 causes TPBS",8,3,4,7.5,15,11,20.5,30,0.375
"Defective CP causes aceruloplasminemia (ACERULOP)",2,0,NA,NA,NA,NA,NA,NA,0
"Defective CSF2RA causes SMDP4",8,1,21,21,21,21,21,21,0.125
"Defective CSF2RB causes SMDP5",8,1,21,21,21,21,21,21,0.125
"Defective CUBN causes MGA1",3,1,20,20,20,20,20,20,0.333333333333333
"Defective CYP11A1 causes AICSR",4,2,9,12,15,15,18,21,0.5
"Defective CYP11B1 causes AH4",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP11B2 causes CMO-1 deficiency",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP17A1 causes AH5",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP19A1 causes AEXS",1,1,15,15,15,15,15,15,1
"Defective CYP1B1 causes Glaucoma",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP21A2 causes AH3",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP24A1 causes HCAI",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP26B1 causes RHFCA",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP26C1 causes FFDD4",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP27A1 causes CTX",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP27B1 causes VDDR1A",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP27B1 causes VDDR1B",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP2U1 causes SPG56",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP4F22 causes ARCI5",1,0,NA,NA,NA,NA,NA,NA,0
"Defective CYP7B1 causes SPG5A and CBAS3",1,0,NA,NA,NA,NA,NA,NA,0
"Defective DHDDS causes RP59",2,1,9,9,9,9,9,9,0.5
"Defective DNA double strand break response due to BARD1 loss of function",2,1,10,10,10,10,10,10,0.5
"Defective DNA double strand break response due to BRCA1 loss of function",2,1,10,10,10,10,10,10,0.5
"Defective DOLK causes DOLK-CDG",1,1,7,7,7,7,7,7,1
"Defective DPAGT1 causes CDG-1j, CMSTA2",1,0,NA,NA,NA,NA,NA,NA,0
"Defective DPM1 causes DPM1-CDG",3,0,NA,NA,NA,NA,NA,NA,0
"Defective DPM2 causes DPM2-CDG",3,0,NA,NA,NA,NA,NA,NA,0
"Defective DPM3 causes DPM3-CDG",3,0,NA,NA,NA,NA,NA,NA,0
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",14,6,8,15.75,27.6666666666667,28,35.75,52,0.428571428571429
"Defective EXT2 causes exostoses 2",14,6,8,15.75,27.6666666666667,28,35.75,52,0.428571428571429
"Defective F8 accelerates dissociation of the A2 domain",1,0,NA,NA,NA,NA,NA,NA,0
"Defective F8 binding to the cell membrane",1,0,NA,NA,NA,NA,NA,NA,0
